,NAME,comorb,Proportion,Year
16,Indiana,1,12.35955056,2010
16,Indiana,2,18.5483871,2010
16,Indiana,3,20,2010
16,Indiana,4,38.70967742,2010
16,Indiana,5,35.71428571,2010
17,Kansas,1,11.9047619,2010
17,Kansas,2,13.5371179,2010
17,Kansas,3,19.13043478,2010
17,Kansas,4,20,2010
17,Kansas,5,26.66666667,2010
18,Kentucky,1,12.38390093,2010
18,Kentucky,2,10.88709677,2010
18,Kentucky,3,14.4,2010
18,Kentucky,4,25.71428571,2010
18,Kentucky,5,33.89830508,2010
19,Louisiana,1,11.57024793,2010
19,Louisiana,2,15.78947368,2010
19,Louisiana,3,18.69918699,2010
19,Louisiana,4,35.71428571,2010
19,Louisiana,5,28.57142857,2010
20,Massachusetts,1,12.77777778,2010
20,Massachusetts,2,14.34782609,2010
20,Massachusetts,3,11.47540984,2010
20,Massachusetts,4,30.76923077,2010
20,Massachusetts,5,32.43243243,2010
21,Maryland,1,11.8556701,2010
21,Maryland,2,13.30049261,2010
21,Maryland,3,18.79699248,2010
21,Maryland,4,32,2010
21,Maryland,5,46.66666667,2010
22,Maine,1,11.98910082,2010
22,Maine,2,10.0877193,2010
22,Maine,3,17.5257732,2010
22,Maine,4,17.64705882,2010
22,Maine,5,25.80645161,2010
23,Michigan,1,13.35227273,2010
23,Michigan,2,14.39688716,2010
23,Michigan,3,19.41747573,2010
23,Michigan,4,28.57142857,2010
23,Michigan,5,45,2010
24,Minnesota,1,8.591885442,2010
24,Minnesota,2,12.5,2010
24,Minnesota,3,17.20430108,2010
24,Minnesota,4,31.25,2010
24,Minnesota,5,40.625,2010
25,Missouri,1,10.4109589,2010
25,Missouri,2,16.73640167,2010
25,Missouri,3,27.18446602,2010
25,Missouri,4,34.14634146,2010
25,Missouri,5,43.18181818,2010
26,Mississippi,1,14.24418605,2010
26,Mississippi,2,17.88990826,2010
26,Mississippi,3,28.57142857,2010
26,Mississippi,4,43.18181818,2010
26,Mississippi,5,40.81632653,2010
27,Montana,1,18.49865952,2010
27,Montana,2,19.2139738,2010
27,Montana,3,30.18867925,2010
27,Montana,4,31.70731707,2010
27,Montana,5,44.82758621,2010
28,North Carolina,1,12.87671233,2010
28,North Carolina,2,10.8490566,2010
28,North Carolina,3,24.08759124,2010
28,North Carolina,4,32.55813953,2010
28,North Carolina,5,40.38461538,2010
29,North Dakota,1,9.223300971,2010
29,North Dakota,2,10.86956522,2010
29,North Dakota,3,17.5257732,2010
29,North Dakota,4,20.68965517,2010
29,North Dakota,5,31.03448276,2010
30,Nebraska,1,11.47959184,2010
30,Nebraska,2,11.11111111,2010
30,Nebraska,3,17.85714286,2010
30,Nebraska,4,51.51515152,2010
30,Nebraska,5,33.33333333,2010
31,New Hampshire,1,7.065217391,2010
31,New Hampshire,2,12.21719457,2010
